time;line_position;deviation_cm;raw_sensor;line_detected;pid_error;pid_correction
2,427;8,667;0,167;64543;True;0,167;1,802
2,631;8,333;-0,167;64543;True;-0,167;-0,989
2,936;8,000;-0,500;64543;True;-0,500;-1,064
3,383;8,000;-0,500;64543;True;-0,500;-0,540
3,536;8,000;-0,500;64543;True;-0,500;-0,548
3,688;8,000;-0,500;64543;True;-0,500;-0,555
4,025;8,000;-0,500;64543;True;-0,500;-0,572
4,177;8,000;-0,500;64543;True;-0,500;-0,580
4,330;8,000;-0,500;64543;True;-0,500;-0,587
4,664;8,167;-0,333;63519;True;-0,333;-0,183
4,816;8,333;-0,167;63519;True;-0,167;0,280
5,171;8,667;0,167;63551;True;0,167;0,540
5,576;8,833;0,333;63551;True;0,333;0,458
5,880;8,833;0,333;63519;True;0,333;0,262
6,488;8,500;0,000;64543;True;0,000;-0,346
6,778;8,167;-0,333;64543;True;-0,333;-0,990
7,286;8,167;-0,333;63519;True;-0,333;-0,432
7,591;8,500;0,000;63551;True;0,000;0,447
7,891;8,833;0,333;63551;True;0,333;0,802
8,043;9,000;0,500;63551;True;0,500;0,966
8,195;9,000;0,500;63551;True;0,500;0,427
8,531;8,833;0,333;63519;True;0,333;0,024
8,887;8,833;0,333;63551;True;0,333;0,283
9,039;8,667;0,167;63519;True;0,167;-0,429
9,275;8,833;0,333;63551;True;0,333;0,648
9,578;8,833;0,333;63551;True;0,333;0,304
9,781;8,667;0,167;64543;True;0,167;-0,270
10,123;8,333;-0,167;64543;True;-0,167;-0,686
10,275;8,333;-0,167;63551;True;-0,167;-0,201
10,428;8,667;0,167;63551;True;0,167;1,228
10,786;8,833;0,333;63519;True;0,333;0,546
10,939;8,500;0,000;64543;True;0,000;-1,113
11,090;8,333;-0,167;63519;True;-0,167;-0,738
11,438;8,500;0,000;63551;True;0,000;0,217
11,591;8,833;0,333;63551;True;0,333;1,405
11,794;9,000;0,500;63551;True;0,500;0,905
12,093;8,833;0,333;63519;True;0,333;0,058
12,245;8,500;0,000;64543;True;0,000;-1,096
12,448;8,500;0,000;63551;True;0,000;0,003
12,935;8,667;0,167;63551;True;0,167;0,349
13,240;9,000;0,500;63551;True;0,500;1,073
13,544;9,000;0,500;63551;True;0,500;0,541
14,047;8,833;0,333;63519;True;0,333;0,226
14,352;8,500;0,000;64543;True;0,000;-0,488
14,657;8,167;-0,333;64543;True;-0,333;-0,833
15,062;8,333;-0,167;63551;True;-0,167;0,080
15,366;8,333;-0,167;64543;True;-0,167;-0,130
16,229;8,500;0,000;63519;True;0,000;0,133
16,524;8,333;-0,167;63519;True;-0,167;-0,417
16,727;8,667;0,167;63551;True;0,167;1,022
16,879;8,500;0,000;64543;True;0,000;-0,514
17,247;8,500;0,000;63519;True;0,000;0,035
17,399;8,167;-0,333;64543;True;-0,333;-1,398
17,551;8,167;-0,333;64543;True;-0,333;-0,309
18,054;8,333;-0,167;63551;True;-0,167;0,015
18,206;8,667;0,167;63551;True;0,167;1,281
18,358;9,000;0,500;63551;True;0,500;1,621
19,225;8,667;0,167;64543;True;0,167;0,015
19,378;8,333;-0,167;64543;True;-0,167;-1,223
19,885;8,000;-0,500;64543;True;-0,500;-0,816
20,199;8,000;-0,500;64543;True;-0,500;-0,503
20,351;8,333;-0,167;63551;True;-0,167;0,920
20,758;8,500;0,000;64575;True;0,000;0,200
21,066;8,833;0,333;63551;True;0,333;0,879
21,219;8,833;0,333;63551;True;0,333;0,343
